,percent
0,100
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,0
26,100
27,100
28,94
29,86
30,93
31,91
32,90
33,93
34,97
35,91
36,98
37,94
38,96
39,90
40,93
41,100
42,98
43,100
44,100
45,100
46,88
47,87
48,95
49,94
50,98
51,100
52,89
53,99
54,96
55,97
56,98
57,90
58,91
59,100
60,90
61,96
62,91
63,94
64,97
65,97
66,100
67,100
68,100
69,97
70,95
71,95
72,99
73,91
74,89
75,96
76,87
77,97
78,99
79,100
80,100
81,87
82,92
83,89
84,95
85,89
86,95
87,95
88,86
89,89
90,85
91,85
92,94
93,78
94,80
95,96
96,93
97,96
98,97
99,97
100,95
101,92
102,96
103,77
104,95
105,73
106,85
107,89
108,92
109,50
110,81
111,95
112,97
113,99
114,97
115,96
116,94
117,96
118,96
119,98
120,95
121,97
122,97
123,96
124,91
125,91
126,92
127,96
128,96
129,92
130,93
131,97
132,89
133,93
134,97
135,93
136,95
137,93
138,90
139,96
140,98
141,97
142,97
143,100
144,100
145,94
146,100
147,100
148,100
149,96
150,91
151,94
152,100
153,97
154,93
155,93
156,96
157,94
158,100
159,100
160,100
161,96
162,100
163,72
164,96
165,87
166,100
167,96
168,97
169,97
170,94
171,77
172,84
173,85
174,96
175,70
176,74
177,76
178,75
179,75
180,61
181,85
182,58
183,72
184,71
185,74
186,63
187,72
188,81
189,85
190,82
191,86
192,92
193,87
194,92
195,95
196,76
197,87
198,100
199,100
200,100
201,100
202,100
203,100
204,100
205,100
206,100
207,100
208,100
209,100
210,100
211,100
212,93
213,93
214,90
215,94
216,92
217,91
218,93
219,91
220,88
221,91
222,82
223,98
224,91
225,94
226,94
227,94
228,100
229,100
230,100
231,100
232,100
233,100
234,100
235,100
236,100
237,100
238,98
239,83
240,87
241,100
242,93
243,98
244,98
245,95
246,96
247,97
248,99
249,95
250,98
251,96
252,97
253,94
254,97
255,91
256,92
257,98
258,100
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,99
267,100
268,100
269,100
270,90
271,100
272,100
273,96
274,94
275,89
276,97
277,100
278,94
279,93
280,94
281,93
282,100
283,93
284,100
285,92
286,100
287,89
288,91
289,97
290,96
291,94
292,93
293,90
294,97
295,95
296,100
297,99
298,95
299,96
300,100
301,90
302,97
303,90
304,93
305,100
306,94
307,94
308,91
309,100
310,92
311,100
312,100
313,100
314,100
315,100
316,97
317,94
318,90
319,93
320,92
321,98
322,98
323,92
324,86
325,99
326,94
327,100
328,100
329,100
330,100
331,100
332,100
333,98
334,100
335,100
336,86
337,97
338,99
339,94
340,100
341,100
342,100
343,100
344,100
345,100
346,100
347,100
348,100
349,88
350,94
351,98
352,91
353,100
354,100
355,100
356,99
357,100
358,97
359,100
360,100
361,100
362,99
363,100
364,100
365,100
366,100
367,97
368,100
369,93
370,100
371,100
372,95
373,95
374,100
375,100
376,100
377,100
378,90
379,100
380,99
381,100
382,100
383,100
384,100
385,100
386,100
387,100
388,100
389,94
390,100
391,100
392,100
393,94
394,100
395,100
396,100
397,94
398,97
399,98
400,99
401,100
402,100
403,100
404,98
405,100
406,100
407,100
408,100
409,100
410,100
411,100
412,100
413,100
414,95
415,98
416,100
417,100
418,100
419,100
420,95
421,93
422,96
423,100
424,98
425,98
426,96
427,95
428,96
429,100
430,98
431,97
432,96
433,100
434,100
435,100
